github_id,github_username,gitlab_id,gitlab_username
16843267,ericboucher,,
1745184,laurentS,75577,LaurentS
1420654,andrewcstewart,2613,andrewstewart
7850417,stkbailey,2726950,stkbailey
8680264,visch,5562019,vischous
6484459,freimer,80763,freimer
30501696,dmosorast,,
25571542,Ry-DS,,
6422324,staaam,2308541,staaam
84364906,s7clarke10,,
1859449,ndrluis,,
1384687,ninomllr,,
8940213,nickdegiacomo,
43750521,nirakon,,
1508380,songpa,686836,songpa
8116138,bjwise96,4487258,bwise
42088664,benomahony,8429406,ben.omahony
78735734,peterbritnell,,
379840,Marnixvdb,,
25072815,yummydum,,
130103,JohannesRudolph,687584,jrudolph1
8120996,wersly,,
82058907,matthew-skinner,,
64038793,cooley-pe,7811051,cooley1
8226282,frasermarlow,,
9200682,franloza,5674606,franloza
34848565,prratek,6734025,prratek